City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Abnub,EG,2022-09-11 22:22:34,27.2696,31.1511,79.02,26,0,7.07,clear sky
232,San Felipe,VE,2022-09-11 22:22:35,10.3399,-68.7425,80.67,76,88,6.85,light rain
233,Xilagani,GR,2022-09-11 22:22:35,40.9833,25.4167,69.19,70,6,2.48,light rain
234,Dera Ismail Khan,PK,2022-09-11 22:22:35,31.8327,70.9024,88.38,53,0,10.38,clear sky
235,Pacific Grove,US,2022-09-11 22:22:36,36.6177,-121.9166,87.75,72,20,10.36,few clouds
236,Elizabeth City,US,2022-09-11 22:22:36,36.2946,-76.2511,82.99,82,0,6.91,clear sky
237,Port Hedland,AU,2022-09-11 22:22:36,-20.3167,118.5667,59.05,94,0,5.75,clear sky
238,Tuy Hoa,VN,2022-09-11 22:22:37,13.0833,109.3,75.81,90,52,3.36,broken clouds
239,Udachnyy,RU,2022-09-11 22:22:37,66.4167,112.4,34.2,99,100,10.16,snow
240,Tasiilaq,GL,2022-09-11 22:22:38,65.6145,-37.6368,39.36,76,100,8.97,overcast clouds
241,Ada,US,2022-09-11 22:22:38,43.4166,-116.1262,86.29,16,0,5.75,haze
242,Erdenet,MN,2022-09-11 22:22:38,49.0333,104.0833,48.15,83,75,3.67,broken clouds
243,Nome,US,2022-09-11 22:22:39,64.5011,-165.4064,50.16,93,100,18.41,mist
244,Taltal,CL,2022-09-11 22:20:20,-25.4,-70.4833,58.26,69,53,6.55,broken clouds
245,Narsaq,GL,2022-09-11 22:22:39,60.9167,-46.05,46.62,88,76,5.3,broken clouds
246,Vostok,RU,2022-09-11 22:22:40,46.4856,135.8833,57.85,78,99,2.26,overcast clouds
247,Tavares,US,2022-09-11 22:22:40,28.8042,-81.7256,87.21,67,0,3.44,clear sky
248,Gilgit,PK,2022-09-11 22:22:40,35.9221,74.3087,68.72,74,98,2.66,overcast clouds
249,Khatanga,RU,2022-09-11 22:22:41,71.9667,102.5,30.49,82,81,5.7,broken clouds
250,Champerico,GT,2022-09-11 22:22:41,14.3,-91.9167,81.14,76,57,8.5,broken clouds
251,Svetlyy,RU,2022-09-11 22:22:41,54.675,20.1347,50.05,67,10,9.17,clear sky
252,Upernavik,GL,2022-09-11 22:22:42,72.7868,-56.1549,40.24,95,100,25.12,overcast clouds
253,Atuona,PF,2022-09-11 22:22:43,-9.8,-139.0333,76.86,70,0,16.62,clear sky
254,Mahibadhoo,MV,2022-09-11 22:22:43,3.7833,72.9667,81.41,77,20,13.78,few clouds
255,Gat,IL,2022-09-11 22:22:43,31.61,34.7642,75.88,73,0,0.63,clear sky
256,Codrington,AU,2022-09-11 22:22:44,-38.2667,141.9667,48.45,79,100,9.37,overcast clouds
257,Tuatapere,NZ,2022-09-11 22:22:44,-46.1333,167.6833,49.68,82,100,5.28,overcast clouds
258,Hohhot,CN,2022-09-11 22:22:45,40.8106,111.6522,52.09,82,20,4.47,few clouds
